expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1Red,goal1Blue,goal1Score,goal2Red,goal2Blue,goal2Score,goal3Red,goal3Blue,goal3Score,totalScore
1,1074551596,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
2,2837686196,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
3,527782200,75,100,0,45,50,0,0,5,47,0.125,0,19,0.5,0.625
4,2734011000,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
5,598594604,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
6,2685757804,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
7,176645508,75,100,0,48,50,0,0,2,47,0.125,0,19,0.5,0.625
8,2363975808,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
9,4150797408,75,100,0,49,50,0,0,1,47,0.125,0,19,0.5,0.625
10,1861791712,75,100,0,41,50,0,0,9,47,0.125,0,19,0.5,0.625
11,3862462912,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
12,1562440116,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
13,3549078016,75,100,0,43,50,0,0,7,47,0.125,0,19,0.5,0.625
14,1292207520,75,100,0,48,50,0,0,2,47,0.125,0,19,0.5,0.625
15,3283057520,75,100,0,44,50,0,0,6,47,0.125,0,19,0.5,0.625
16,1102559524,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
17,3035430924,75,100,0,48,50,0,0,2,47,0.125,0,19,0.5,0.625
18,806741628,75,100,0,49,50,0,0,1,47,0.125,0,19,0.5,0.625
19,2945247228,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
20,720376432,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
21,3050787932,75,100,0,43,50,0,0,7,47,0.125,0,19,0.5,0.625
22,676503236,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
23,2550808336,75,100,0,49,50,0,0,1,47,0.125,0,19,0.5,0.625
24,556611140,75,100,0,41,50,0,0,9,47,0.125,0,19,0.5,0.625
25,2606187640,75,100,0,44,50,0,0,6,47,0.125,0,19,0.5,0.625
26,282498644,75,100,0,45,50,0,0,5,47,0.125,0,19,0.5,0.625
27,2267891744,75,100,0,45,50,0,0,5,47,0.125,0,19,0.5,0.625
28,4255257244,75,100,0,45,50,0,0,5,47,0.125,0,19,0.5,0.625
29,1849562748,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
30,4015673248,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
31,1667240852,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
32,3695586052,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
33,1462695056,75,100,0,43,50,0,0,7,47,0.125,0,19,0.5,0.625
34,3265101456,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
35,1224296960,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
36,3331444360,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
37,1072878564,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
38,3115900964,75,100,0,43,50,0,0,7,47,0.125,0,19,0.5,0.625
39,691398368,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
40,2819871668,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
41,632431972,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
42,2454530372,75,100,0,44,50,0,0,6,47,0.125,0,19,0.5,0.625
43,164898276,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
44,2064403676,75,100,0,44,50,0,0,6,47,0.125,0,19,0.5,0.625
45,4177818976,75,100,0,48,50,0,0,2,47,0.125,0,19,0.5,0.625
46,1993915780,75,100,0,42,50,0,0,8,47,0.125,0,19,0.5,0.625
47,3817136480,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
48,1582044584,75,100,0,46,50,0,0,4,47,0.125,0,19,0.5,0.625
49,3541005184,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
50,1060890088,75,100,0,47,50,0,0,3,47,0.125,0,19,0.5,0.625
